Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-04-30,65.80996704101562,65.80996704101562,65.80996704101562,65.80996704101562,0,0.0,0.0,0.0
2020-05-01,63.88389587402344,63.88389587402344,63.88389587402344,63.88389587402344,0,0.0,0.0,0.0
2020-05-04,64.18020629882812,64.18020629882812,64.18020629882812,64.18020629882812,0,0.0,0.0,0.0
2020-05-05,64.79139709472656,64.79139709472656,64.79139709472656,64.79139709472656,0,0.0,0.0,0.0
2020-05-06,64.37469482421875,64.37469482421875,64.37469482421875,64.37469482421875,0,0.0,0.0,0.0
2020-05-07,65.2358627319336,65.2358627319336,65.2358627319336,65.2358627319336,0,0.0,0.0,0.0
2020-05-08,66.4766845703125,66.4766845703125,66.4766845703125,66.4766845703125,0,0.0,0.0,0.0
2020-05-11,66.45816802978516,66.45816802978516,66.45816802978516,66.45816802978516,0,0.0,0.0,0.0
2020-05-12,65.01361846923828,65.01361846923828,65.01361846923828,65.01361846923828,0,0.0,0.0,0.0
2020-05-13,63.74503707885742,63.74503707885742,63.74503707885742,63.74503707885742,0,0.0,0.0,0.0
2020-05-14,64.46730041503906,64.46730041503906,64.46730041503906,64.46730041503906,0,0.0,0.0,0.0
2020-05-15,64.8006591796875,64.8006591796875,64.8006591796875,64.8006591796875,0,0.0,0.0,0.0
2020-05-18,67.0044937133789,67.0044937133789,67.0044937133789,67.0044937133789,0,0.0,0.0,0.0
2020-05-19,66.30075073242188,66.30075073242188,66.30075073242188,66.30075073242188,0,0.0,0.0,0.0
2020-05-20,67.48601531982422,67.48601531982422,67.48601531982422,67.48601531982422,0,0.0,0.0,0.0
2020-05-21,67.04154205322266,67.04154205322266,67.04154205322266,67.04154205322266,0,0.0,0.0,0.0
2020-05-22,67.2544937133789,67.2544937133789,67.2544937133789,67.2544937133789,0,0.0,0.0,0.0
2020-05-26,68.18976593017578,68.18976593017578,68.18976593017578,68.18976593017578,0,0.0,0.0,0.0
2020-05-27,69.26390838623047,69.26390838623047,69.26390838623047,69.26390838623047,0,0.0,0.0,0.0
2020-05-28,69.01387786865234,69.01387786865234,69.01387786865234,69.01387786865234,0,0.0,0.0,0.0
2020-05-29,69.3472671508789,69.3472671508789,69.3472671508789,69.3472671508789,0,0.0,0.0,0.0
2020-06-01,69.7176513671875,69.7176513671875,69.7176513671875,69.7176513671875,0,0.0,0.0,0.0
2020-06-02,70.30101013183594,70.30101013183594,70.30101013183594,70.30101013183594,0,0.0,0.0,0.0
2020-06-03,71.36591339111328,71.36591339111328,71.36591339111328,71.36591339111328,0,0.0,0.0,0.0
2020-06-04,71.13440704345703,71.13440704345703,71.13440704345703,71.13440704345703,0,0.0,0.0,0.0
2020-06-05,73.01416015625,73.01416015625,73.01416015625,73.01416015625,0,0.0,0.0,0.0
2020-06-08,74.00497436523438,74.00497436523438,74.00497436523438,74.00497436523438,0,0.0,0.0,0.0
2020-06-09,73.30122375488281,73.30122375488281,73.30122375488281,73.30122375488281,0,0.0,0.0,0.0
2020-06-10,72.79191589355469,72.79191589355469,72.79191589355469,72.79191589355469,0,0.0,0.0,0.0
2020-06-11,68.42124938964844,68.42124938964844,68.42124938964844,68.42124938964844,0,0.0,0.0,0.0
2020-06-12,69.39354705810547,69.39354705810547,69.39354705810547,69.39354705810547,0,0.0,0.0,0.0
2020-06-15,70.10655212402344,70.10655212402344,70.10655212402344,70.10655212402344,0,0.0,0.0,0.0
2020-06-16,71.44924926757812,71.44924926757812,71.44924926757812,71.44924926757812,0,0.0,0.0,0.0
